t,hikari_active,tomcat_busy
1790375014,0.0,1.0
1790375015,0.0,51.0
1790375016,1.0,82.0
1790375017,2.0,82.0
1790375018,9.0,82.0
1790375019,1.0,81.0
1790375020,2.0,82.0
1790375021,4.0,83.0
1790375022,0.0,82.0
1790375023,3.0,82.0
1790375024,3.0,82.0
1790375026,2.0,83.0
1790375027,2.0,82.0
1790375028,4.0,83.0
1790375029,1.0,82.0
1790375030,1.0,82.0
1790375031,8.0,76.0
1790375032,1.0,82.0
1790375033,8.0,84.0
1790375034,3.0,83.0
1790375035,1.0,82.0
1790375036,2.0,81.0
1790375037,1.0,81.0
1790375038,1.0,82.0
1790375039,7.0,81.0
1790375040,1.0,82.0
1790375041,1.0,82.0
1790375042,5.0,82.0
1790375043,0.0,82.0
1790375044,10.0,83.0
1790375045,2.0,82.0
1790375046,1.0,82.0
1790375047,2.0,82.0
1790375048,8.0,82.0
1790375049,1.0,82.0
1790375051,8.0,82.0
1790375052,7.0,82.0
1790375053,2.0,83.0
1790375054,3.0,82.0
1790375055,1.0,83.0
1790375056,1.0,82.0
1790375057,2.0,82.0
1790375058,2.0,82.0
1790375059,1.0,82.0
1790375060,0.0,58.0
1790375061,1.0,13.0
