t,hikari_active,tomcat_busy
1790367679,0.0,1.0
1790367680,1.0,42.0
1790367681,2.0,43.0
1790367682,1.0,43.0
1790367683,1.0,43.0
1790367684,1.0,42.0
1790367685,8.0,42.0
1790367686,1.0,42.0
1790367687,3.0,44.0
1790367688,3.0,43.0
1790367689,0.0,42.0
1790367690,0.0,42.0
1790367691,7.0,43.0
1790367692,1.0,42.0
1790367693,2.0,43.0
1790367694,2.0,42.0
1790367695,1.0,42.0
1790367696,1.0,42.0
1790367697,7.0,41.0
1790367698,2.0,43.0
1790367699,1.0,42.0
1790367700,2.0,42.0
1790367701,1.0,42.0
1790367703,1.0,42.0
1790367704,8.0,42.0
1790367705,1.0,42.0
1790367706,1.0,42.0
1790367707,9.0,42.0
1790367708,1.0,42.0
1790367709,1.0,42.0
1790367710,1.0,42.0
1790367711,1.0,42.0
1790367712,1.0,42.0
1790367713,1.0,42.0
1790367714,1.0,42.0
1790367715,6.0,41.0
1790367716,1.0,42.0
1790367717,1.0,42.0
1790367718,4.0,42.0
1790367719,1.0,42.0
1790367720,1.0,42.0
1790367721,8.0,42.0
1790367722,2.0,43.0
1790367723,1.0,42.0
1790367724,6.0,24.0
