t,hikari_active,tomcat_busy
1790375640,0.0,1.0
1790375641,1.0,50.0
1790375642,1.0,102.0
1790375643,9.0,123.0
1790375645,9.0,122.0
1790375646,3.0,122.0
1790375647,8.0,122.0
1790375648,7.0,122.0
1790375649,2.0,121.0
1790375650,3.0,123.0
1790375651,6.0,122.0
1790375652,2.0,121.0
1790375653,2.0,122.0
1790375654,1.0,122.0
1790375655,1.0,122.0
1790375656,2.0,122.0
1790375657,9.0,122.0
1790375658,2.0,123.0
1790375659,8.0,122.0
1790375660,8.0,121.0
1790375661,1.0,122.0
1790375662,2.0,122.0
1790375663,2.0,122.0
1790375664,1.0,123.0
1790375665,2.0,122.0
1790375666,9.0,123.0
1790375667,1.0,122.0
1790375669,3.0,123.0
1790375670,7.0,124.0
1790375671,4.0,123.0
1790375672,3.0,123.0
1790375673,8.0,122.0
1790375674,4.0,122.0
1790375675,2.0,122.0
1790375676,4.0,121.0
1790375677,1.0,121.0
1790375678,8.0,121.0
1790375679,8.0,122.0
1790375680,10.0,122.0
1790375681,9.0,124.0
1790375682,2.0,122.0
1790375683,2.0,122.0
1790375684,1.0,122.0
1790375685,2.0,123.0
1790375686,1.0,92.0
1790375687,0.0,43.0
1790375688,0.0,1.0
