t,hikari_active,tomcat_busy
1790375552,0.0,1.0
1790375553,1.0,51.0
1790375554,1.0,82.0
1790375555,2.0,82.0
1790375556,7.0,82.0
1790375557,1.0,83.0
1790375558,2.0,81.0
1790375559,8.0,81.0
1790375561,2.0,82.0
1790375562,2.0,83.0
1790375563,7.0,81.0
1790375564,2.0,83.0
1790375565,5.0,84.0
1790375566,3.0,82.0
1790375567,1.0,82.0
1790375568,2.0,81.0
1790375569,5.0,85.0
1790375570,0.0,82.0
1790375571,3.0,83.0
1790375572,1.0,82.0
1790375573,0.0,82.0
1790375574,1.0,82.0
1790375575,0.0,82.0
1790375576,1.0,82.0
1790375577,7.0,82.0
1790375578,1.0,82.0
1790375579,3.0,84.0
1790375580,2.0,82.0
1790375581,1.0,82.0
1790375582,1.0,82.0
1790375583,2.0,82.0
1790375585,1.0,82.0
1790375586,9.0,83.0
1790375587,8.0,82.0
1790375588,1.0,82.0
1790375589,2.0,82.0
1790375590,2.0,82.0
1790375591,2.0,83.0
1790375592,5.0,84.0
1790375593,2.0,82.0
1790375594,0.0,82.0
1790375595,6.0,82.0
1790375596,2.0,82.0
1790375597,1.0,82.0
1790375598,1.0,57.0
1790375599,0.0,6.0
