t,hikari_active,tomcat_busy
1790375376,0.0,1.0
1790375377,0.0,45.0
1790375378,1.0,97.0
1790375379,2.0,122.0
1790375380,2.0,121.0
1790375381,3.0,122.0
1790375382,8.0,122.0
1790375383,11.0,120.0
1790375384,8.0,120.0
1790375385,9.0,123.0
1790375386,8.0,120.0
1790375387,7.0,121.0
1790375388,8.0,122.0
1790375389,2.0,122.0
1790375391,12.0,123.0
1790375392,2.0,122.0
1790375393,2.0,122.0
1790375394,1.0,122.0
1790375395,11.0,125.0
1790375396,2.0,122.0
1790375397,1.0,122.0
1790375398,2.0,121.0
1790375399,1.0,121.0
1790375400,2.0,123.0
1790375401,10.0,125.0
1790375402,8.0,122.0
1790375403,1.0,122.0
1790375404,4.0,121.0
1790375405,8.0,121.0
1790375406,1.0,122.0
1790375407,9.0,122.0
1790375408,3.0,123.0
1790375409,4.0,122.0
1790375410,7.0,122.0
1790375411,2.0,122.0
1790375412,2.0,123.0
1790375414,2.0,122.0
1790375415,3.0,122.0
1790375416,2.0,123.0
1790375417,3.0,122.0
1790375418,2.0,122.0
1790375419,7.0,122.0
1790375420,1.0,122.0
1790375421,7.0,121.0
1790375422,0.0,97.0
1790375423,1.0,48.0
1790375424,0.0,1.0
