t,hikari_active,tomcat_busy
1790374927,0.0,1.0
1790374928,1.0,42.0
1790374929,0.0,42.0
1790374930,2.0,42.0
1790374931,0.0,42.0
1790374932,1.0,42.0
1790374933,4.0,43.0
1790374934,1.0,42.0
1790374935,2.0,43.0
1790374936,2.0,42.0
1790374937,1.0,42.0
1790374938,2.0,43.0
1790374939,8.0,43.0
1790374940,2.0,43.0
1790374941,1.0,42.0
1790374942,2.0,42.0
1790374943,1.0,42.0
1790374944,1.0,42.0
1790374945,2.0,42.0
1790374946,2.0,43.0
1790374947,1.0,42.0
1790374949,7.0,42.0
1790374950,1.0,43.0
1790374951,1.0,42.0
1790374952,7.0,42.0
1790374953,1.0,42.0
1790374954,1.0,42.0
1790374955,1.0,42.0
1790374956,1.0,42.0
1790374957,1.0,42.0
1790374958,1.0,42.0
1790374959,1.0,42.0
1790374960,2.0,42.0
1790374961,1.0,42.0
1790374962,1.0,42.0
1790374963,2.0,42.0
1790374964,1.0,42.0
1790374965,0.0,42.0
1790374966,4.0,43.0
1790374967,1.0,42.0
1790374968,1.0,42.0
1790374969,8.0,43.0
1790374970,1.0,42.0
1790374971,1.0,42.0
1790374972,1.0,19.0
