t,hikari_active,tomcat_busy
1790367764,0.0,1.0
1790367765,1.0,44.0
1790367766,1.0,42.0
1790367767,0.0,42.0
1790367768,1.0,42.0
1790367769,1.0,42.0
1790367770,2.0,42.0
1790367771,1.0,42.0
1790367772,1.0,42.0
1790367773,2.0,42.0
1790367774,1.0,42.0
1790367775,2.0,43.0
1790367776,10.0,44.0
1790367777,1.0,42.0
1790367778,2.0,43.0
1790367779,2.0,41.0
1790367780,1.0,42.0
1790367781,1.0,42.0
1790367782,2.0,42.0
1790367784,1.0,42.0
1790367785,1.0,42.0
1790367786,9.0,42.0
1790367787,0.0,42.0
1790367788,1.0,44.0
1790367789,8.0,42.0
1790367790,2.0,43.0
1790367791,1.0,42.0
1790367792,2.0,42.0
1790367793,0.0,42.0
1790367794,1.0,42.0
1790367795,0.0,42.0
1790367796,1.0,43.0
1790367797,1.0,42.0
1790367798,1.0,42.0
1790367799,1.0,42.0
1790367800,2.0,42.0
1790367801,1.0,42.0
1790367802,1.0,42.0
1790367803,2.0,42.0
1790367804,1.0,42.0
1790367805,1.0,42.0
1790367806,6.0,41.0
1790367807,1.0,42.0
1790367809,2.0,43.0
1790367810,7.0,25.0
