t,hikari_active,tomcat_busy
1790375465,0.0,1.0
1790375466,2.0,43.0
1790375467,1.0,42.0
1790375468,4.0,43.0
1790375469,1.0,42.0
1790375470,1.0,42.0
1790375471,2.0,42.0
1790375472,1.0,42.0
1790375473,1.0,42.0
1790375474,2.0,43.0
1790375475,2.0,42.0
1790375476,2.0,43.0
1790375477,2.0,43.0
1790375478,1.0,42.0
1790375479,1.0,42.0
1790375481,8.0,42.0
1790375482,1.0,42.0
1790375483,0.0,42.0
1790375484,1.0,43.0
1790375485,1.0,42.0
1790375486,0.0,42.0
1790375487,2.0,42.0
1790375488,1.0,42.0
1790375489,1.0,42.0
1790375490,2.0,42.0
1790375491,1.0,42.0
1790375492,1.0,42.0
1790375493,0.0,42.0
1790375494,1.0,42.0
1790375495,1.0,42.0
1790375496,1.0,43.0
1790375497,1.0,42.0
1790375498,8.0,42.0
1790375499,1.0,42.0
1790375500,1.0,42.0
1790375501,11.0,44.0
1790375502,1.0,43.0
1790375503,1.0,42.0
1790375504,2.0,42.0
1790375506,1.0,42.0
1790375507,1.0,42.0
1790375508,2.0,42.0
1790375509,1.0,42.0
1790375510,1.0,42.0
1790375511,1.0,20.0
