t,hikari_active,tomcat_busy
1790375200,0.0,1.0
1790375201,1.0,42.0
1790375202,1.0,43.0
1790375203,2.0,42.0
1790375204,1.0,42.0
1790375205,1.0,42.0
1790375206,1.0,42.0
1790375207,1.0,43.0
1790375208,1.0,42.0
1790375210,10.0,43.0
1790375211,1.0,42.0
1790375212,1.0,42.0
1790375213,7.0,42.0
1790375214,1.0,42.0
1790375215,2.0,43.0
1790375216,3.0,43.0
1790375217,1.0,42.0
1790375218,1.0,42.0
1790375219,8.0,42.0
1790375220,1.0,42.0
1790375221,2.0,43.0
1790375222,6.0,42.0
1790375223,1.0,42.0
1790375224,1.0,42.0
1790375225,2.0,42.0
1790375226,1.0,42.0
1790375227,1.0,42.0
1790375228,1.0,42.0
1790375229,0.0,42.0
1790375230,1.0,42.0
1790375231,2.0,43.0
1790375232,1.0,42.0
1790375233,4.0,42.0
1790375235,1.0,42.0
1790375236,1.0,42.0
1790375237,2.0,41.0
1790375238,2.0,43.0
1790375239,1.0,42.0
1790375240,1.0,42.0
1790375241,1.0,42.0
1790375242,1.0,42.0
1790375243,7.0,41.0
1790375244,3.0,44.0
1790375245,2.0,43.0
1790375246,0.0,19.0
